1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
18600,20200,20900,22300,24100,23900,24700,24600,24700,26000,27200,31200,36000,40500,45000,49400,53600,57500,60600,62000,63000,67000,61900,60300,61800,55700,55400,56700,48700,54100,61800,59200,51100,45900,45300,41800,31700,31500,29200,30900,33800,33200,33300,33000,34900,37000,38500,41300,41300,42500,47100,47000,45100,45700,47400,47500,49000,49100,48300,42000,39700,40800,44400,48000,49000,47600,45100,42800,43200,44700,39400,39400,39200,39100,38900
823,995,1250,1570,1980,2480,3120,3920,4930,6190,7770,9700,12100,15100,18900,23600,29400,36700,45800,57100,71200,71400,72100,72800,70900,69700,70900,62200,63800,62400,56300,50800,42000,36700,34600,30900,30100,28200,28200,28600,28400,27100,29400,28500,28300,28400,28900,36400,39000,39000,40200,40200,41400,42800,47400,48500,63300,71900,79400,73600,75700,77900,82600,89000,89300,81600,71700,62000,61300,62400,56000,57200,59100,60300,61200
11400,11500,11400,11500,11900,12300,12400,12400,12700,13200,13500,13300,13800,14400,15100,15500,15700,16400,17000,17700,18400,18800,18900,19700,19800,20100,20700,20600,21000,21800,21900,22300,21900,21700,22900,23800,23900,24700,25400,28400,31300,32200,31600,31800,31100,30700,32100,34400,34400,33300,31700,29600,29200,29500,33500,38500,42500,46300,51300,52900,55500,58600,68300,74000,71900,67200,60100,56100,55300,56000,53700,56000,57100,57800,58400
6490,7030,7610,8200,8770,9690,10300,10900,11300,12000,12900,13400,14000,14400,15300,16000,16500,16700,17600,18800,19700,20300,21200,22200,22600,22700,24100,25100,26000,27200,27700,27900,27900,28700,29800,30800,31700,32400,33500,36000,38500,40400,44000,43700,45400,47000,48400,47200,44100,41700,39200,36300,34400,36300,41400,45200,47600,50100,52800,52300,53000,55000,52700,52900,52500,50800,49200,47600,49400,50100,47500,49100,50700,51500,52200
18900,19100,19400,19700,20000,20300,20600,20900,21200,21500,21800,22100,22300,22600,22800,23100,23400,23600,23900,24200,24500,25600,26900,28200,30000,28900,33300,35500,36400,43100,38700,30000,30200,29500,28700,27500,23600,23000,22200,22000,22500,24000,25800,25300,24900,25000,25400,25400,22800,21800,22000,23600,25000,24800,26200,29200,34300,38300,41400,39000,39600,41300,48000,50800,47500,43100,36900,32500,30600,32800,31500,32000,32700,33400,34000
13200,13200,13300,13900,14100,14100,14200,15200,15400,16500,16800,17900,18800,18900,20600,21400,22000,22600,23500,25000,25500,26100,27400,28400,28100,28000,29900,30400,30900,32100,32100,32000,33100,34100,35800,37500,39000,39200,39900,42000,44000,45100,48900,48000,50100,51900,54500,55100,52800,51400,48900,46100,45000,48400,55900,62800,66700,69100,73200,72200,72800,72100,69900,70800,70300,67200,64500,61800,63800,64700,63000,64599,66200,67200,68200
5340,5900,6490,6870,7170,7690,8190,8710,9130,9870,11100,12300,13200,14200,15600,16300,17800,19600,21800,24200,26400,27200,29000,30900,30000,30500,31300,32299,33600,35100,35700,36500,37300,37800,38900,40300,41100,42500,44900,49200,50300,50500,52000,56100,60100,66600,67600,62700,54400,52500,54300,54000,50700,48900,50200,51400,49700,48000,47000,46600,51600,54500,56100,54100,48500,43100,42000,41900,42800,42400,40400,41800,43100,43700,44300
11900,11000,11700,11800,11800,12300,12800,13300,13500,13700,14200,14900,15200,15900,17200,17700,18100,18400,19500,21600,22300,23000,24600,26800,28000,26300,27300,28100,29600,30700,31300,31900,32200,33600,36200,37600,40900,42100,46600,52000,56600,62100,66400,67300,68200,72900,76100,77300,73200,72400,68500,66000,61800,64000,81900,92500,88800,106000,104000,84600,92100,92000,99600,95400,95700,81600,81900,82500,82700,78500,80900,82600,84000,84900,85600
6680,6350,6930,6980,7420,7930,8110,7920,8300,8410,8610,8440,9000,9750,10600,11100,11900,11600,10800,11000,11800,13200,13800,14600,15200,15100,15900,17200,18100,18800,19700,20300,20500,19800,20500,21000,22200,23900,23400,25900,28000,29800,31400,33800,36200,38100,40900,44600,46200,47300,47300,45100,45100,47000,55100,64000,66500,76700,60600,50300,43100,43800,46100,52600,53100,55500,61000,65700,70600,74300,62400,63700,65000,65500,66200
10900,11000,11100,11900,12600,13300,13600,13900,13600,14100,15100,15000,15900,16300,17500,18300,18600,19500,20700,21800,22900,23700,24400,25400,26400,26200,27400,28100,28700,29300,29500,29300,29000,29500,30500,31400,32299,32700,33400,35600,36700,37600,40100,40400,41800,44100,46600,46700,44600,44600,43200,40200,39400,43100,48800,53200,57200,60800,63800,64500,64099,63400,60000,59300,57400,55300,52100,51400,53400,54200,51100,52700,54100,54900,55700
