1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
58.4,58.5,58.6,58.7,58.8,58.9,58.8,59.3,59.6,59.7,60.3,60.8,61.3,61.6,62.1,62.6,63.0,63.4,63.8,64.2,64.0,64.9,65.1,65.4,65.7,66.0,66.3,66.6,67.0,67.3,67.6,68.0,68.1,67.9,68.4,68.5,68.5,68.5,68.5,68.6,68.7,68.7,68.8,68.8,68.7,68.8,68.9,69.0,69.2,69.2,69.1,69.2,69.4,69.3,69.1,69.2,69.5,70.0,70.4,70.6,70.8,71.0,71.2,71.6,73.0,73.2,73.4,73.5,73.7,73.9,74.0,74.2,74.3,74.4,74.6
64.5,64.5,64.5,64.6,64.7,64.8,64.9,65.0,65.0,65.2,65.3,65.4,65.5,65.7,65.8,66.0,66.2,66.3,66.5,66.8,67.0,67.2,67.5,67.7,68.3,68.7,69.2,69.6,69.6,69.6,70.3,70.4,70.2,70.8,72.3,72.1,71.2,70.8,70.5,70.3,69.9,69.8,69.8,69.9,71.0,71.8,70.6,70.1,70.2,70.6,71.2,71.5,71.5,71.7,72.2,72.3,72.1,72.2,72.5,72.8,73.4,73.9,74.3,74.7,74.9,75.5,75.7,75.9,76.1,76.3,76.2,76.5,76.7,76.8,77.0
69.4,69.2,69.5,69.9,70.2,70.3,70.4,70.6,71.0,70.9,71.1,71.3,71.2,71.2,71.0,71.1,71.1,71.1,71.0,71.2,71.2,71.4,71.8,71.9,72.0,72.5,72.8,73.3,73.8,74.2,74.5,74.8,74.9,75.3,75.5,75.6,76.0,76.2,76.4,76.5,77.0,77.4,77.6,77.9,78.0,78.3,78.5,78.8,79.1,79.4,79.7,80.1,80.3,80.6,80.9,81.2,81.5,81.5,81.7,81.9,82.1,82.3,82.6,82.7,82.7,82.7,83.0,83.0,82.9,82.9,82.9,83.2,83.3,83.5,83.6
66.5,66.9,67.3,67.7,68.1,68.5,68.9,68.9,69.3,69.3,69.4,69.8,70.0,70.2,70.5,70.7,70.8,70.8,70.5,70.4,70.6,70.8,71.0,71.3,71.6,71.7,72.1,72.5,72.7,73.0,73.3,73.5,73.8,74.1,74.6,74.8,75.1,75.3,75.5,75.7,75.7,75.8,76.2,76.3,76.6,76.9,77.1,77.5,77.8,78.1,78.4,78.7,78.8,78.9,79.3,79.6,79.9,80.0,80.2,80.3,80.5,80.7,80.8,80.8,81.0,80.9,81.0,81.1,81.2,81.2,81.0,81.5,81.7,81.8,82.0
51.7,52.6,52.3,52.6,53.0,52.9,52.6,52.5,53.6,54.5,55.8,57.3,57.7,59.5,60.6,61.9,62.9,63.0,62.3,62.5,63.0,63.6,64.1,64.7,65.4,65.7,66.3,66.4,66.7,67.1,67.5,67.9,68.0,68.2,68.4,68.5,68.6,68.9,69.2,69.3,69.4,69.7,70.0,70.4,71.0,71.5,72.0,72.1,72.2,72.3,72.5,72.8,72.9,72.9,72.9,73.0,73.2,73.5,73.8,73.8,73.8,73.9,74.0,73.9,74.0,74.0,74.1,74.1,74.2,74.4,74.4,74.6,74.8,74.9,75.0
70.7,71.0,71.1,71.4,71.7,72.1,72.2,72.2,72.4,72.5,72.5,72.6,72.6,72.6,72.7,72.7,72.8,73.1,73.3,73.5,73.6,73.6,73.7,73.9,74.1,74.2,74.2,74.7,74.7,74.5,74.4,74.5,74.7,74.7,74.8,74.8,74.9,75.0,75.1,75.1,75.2,75.4,75.5,75.5,75.5,75.6,75.9,76.3,76.7,76.7,77.2,77.3,77.4,77.7,78.0,78.3,78.5,78.7,79.0,79.2,79.5,79.9,80.3,80.5,80.8,81.0,81.0,81.1,81.1,81.1,81.2,81.4,81.5,81.7,81.8
59.8,61.5,63.4,64.0,65.0,66.1,66.1,66.2,67.4,67.8,68.3,68.8,69.3,70.1,70.7,70.9,71.5,71.9,72.2,72.4,72.7,73.3,73.7,73.9,74.3,74.8,75.2,75.8,76.1,76.4,76.6,76.9,77.3,77.5,77.8,78.2,78.5,78.9,79.0,79.3,79.4,79.6,79.7,79.9,80.2,80.2,80.7,81.0,81.0,81.2,81.6,81.9,82.2,82.3,82.5,82.5,82.8,82.9,83.1,83.3,83.3,83.2,83.6,83.9,84.1,84.3,84.5,84.7,84.8,84.8,84.7,85.1,85.2,85.3,85.4
66.4,66.5,66.6,66.8,67.1,67.5,67.7,68.1,68.5,68.7,68.9,69.1,69.1,69.2,69.4,69.6,69.7,69.8,70.1,70.2,70.2,70.3,70.6,70.8,71.0,71.2,71.4,71.8,72.1,72.4,72.6,72.7,72.9,73.2,73.5,73.9,74.2,74.4,74.6,75.0,75.3,75.5,75.8,76.0,76.3,76.6,76.9,77.2,77.5,77.8,78.0,78.4,78.7,79.0,79.2,79.5,79.8,80.2,80.6,80.8,81.0,81.3,81.5,81.7,82.0,82.3,82.7,82.8,82.9,82.9,82.0,83.2,83.4,83.5,83.7
71.5,71.8,72.0,72.2,72.5,72.7,72.8,73.0,73.1,73.2,73.4,73.4,73.5,73.6,73.7,73.7,73.8,73.8,73.9,74.0,73.9,74.2,74.5,74.8,75.1,75.7,75.9,76.1,76.2,76.3,76.5,76.7,77.0,77.1,77.3,77.3,77.3,77.7,77.7,77.9,78.1,78.2,78.5,78.6,78.7,78.4,79.0,79.2,79.5,79.9,80.3,80.6,80.8,81.2,81.4,81.6,81.7,81.9,82.2,82.4,82.6,82.8,82.9,83.2,83.7,83.7,83.8,83.9,84.0,84.1,84.0,84.4,84.5,84.7,84.8
71.6,71.7,72.1,71.5,72.4,72.6,72.8,73.1,73.3,73.3,73.5,73.6,73.1,73.5,73.7,73.7,73.7,73.8,73.8,73.7,73.7,73.9,74.0,74.3,74.6,74.7,74.9,75.2,75.4,75.7,75.9,76.0,76.2,76.3,76.4,76.5,76.6,76.8,77.1,77.0,77.2,77.3,77.4,77.3,77.6,77.7,77.8,78.0,78.1,78.1,78.3,78.4,78.6,78.9,79.3,79.6,80.0,80.3,80.5,80.8,81.0,81.1,81.2,81.4,81.6,81.7,81.7,81.7,81.7,81.7,81.0,82.0,82.2,82.3,82.5
