1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
74600,79800,85100,90600,96100,102000,108000,113000,120000,126000,133000,141000,149000,157000,165000,174000,183000,191000,214000,253000,298000,345000,392000,442000,492000,543000,614000,707000,805000,908000,1010000,1100000,1170000,1240000,1310000,1380000,1470000,1580000,1680000,1790000,1900000,2009999,2120000,2220000,2330000,2430000,2570000,2750000,2920000,3100000,3280000,3450000,3630000,3810000,3990000,4280000,4900000,5870000,6990000,7990000,8480000,8580000,8660000,8750000,8840000,8920000,8990000,9070000,9140000,9210000,9290000,9370000,9440000,9520000,9590000
24300,25100,25900,26800,27700,28700,29700,30900,32200,34000,36400,40100,45100,51000,57500,64800,73100,82500,93000,105000,118000,133000,148000,164000,179000,195000,211000,227000,244000,260000,277000,295000,313000,330000,348000,366000,382000,397000,412000,427000,442000,456000,471000,486000,501000,515000,529000,551000,581000,613000,646000,679000,713000,749000,778000,849000,1020000,1230000,1440000,1610000,1710000,1800000,1910000,2040000,2210000,2410000,2600000,2710000,2770000,2810000,2760000,2690000,2700000,2720000,2740000
8180000,8420000,8630000,8820000,9000000,9210000,9430000,9640000,9850000,10100000,10300000,10500000,10700000,10900000,11100000,11400000,11600000,11800000,12000000,12300000,12600000,13000000,13300000,13500000,13700000,13900000,14000000,14200000,14400000,14500000,14700000,14900000,15200000,15400000,15600000,15800000,16000000,16300000,16500000,16800000,17000000,17300000,17500000,17600000,17800000,18000000,18200000,18400000,18600000,18800000,19000000,19200000,19500000,19700000,19900000,20200000,20500000,20800000,21200000,21700000,22000000,22400000,22700000,23100000,23500000,23800000,24200000,24600000,25000000,25400000,25700000,25900000,26200000,26400000,26700000
71000000,70800000,70800000,70900000,71000000,71200000,71500000,71800000,72100000,72600000,73100000,73600000,74200000,74800000,75400000,76000000,76600000,77200000,77600000,78000000,78300000,78500000,78600000,78700000,78600000,78500000,78400000,78200000,78100000,77900000,77800000,77700000,77600000,77600000,77600000,77600000,77800000,78100000,78500000,78900000,79400000,79800000,80200000,80600000,80900000,81100000,81300000,81400000,81500000,81600000,81600000,81500000,81400000,81300000,81300000,81200000,81200000,81200000,81200000,81300000,81300000,81400000,81500000,81700000,81900000,82100000,82300000,82600000,82900000,83100000,83300000,83400000,83400000,83300000,83300000
48300,51100,54000,57200,60600,64300,68200,72400,76700,81000,85300,89600,93800,98300,103000,108000,113000,118000,123000,128000,133000,139000,144000,149000,154000,160000,165000,171000,176000,182000,188000,194000,201000,208000,215000,222000,230000,238000,246000,254000,262000,270000,277000,285000,292000,299000,306000,313000,320000,327000,334000,341000,347000,354000,360000,367000,373000,379000,385000,390000,396000,402000,407000,412000,417000,421000,426000,430000,434000,438000,442000,445000,449000,453000,456000
4270000,4300000,4330000,4360000,4390000,4430000,4460000,4490000,4520000,4550000,4580000,4610000,4650000,4680000,4720000,4760000,4800000,4830000,4870000,4900000,4920000,4950000,4980000,5010000,5030000,5060000,5080000,5090000,5110000,5120000,5130000,5130000,5130000,5120000,5120000,5120000,5120000,5120000,5130000,5130000,5140000,5160000,5180000,5190000,5210000,5240000,5260000,5280000,5300000,5320000,5340000,5360000,5380000,5400000,5420000,5440000,5460000,5480000,5500000,5530000,5550000,5580000,5600000,5630000,5650000,5680000,5710000,5740000,5770000,5800000,5830000,5850000,5880000,5910000,5940000
84400000,85700000,86900000,88100000,89100000,90100000,91000000,91800000,92700000,93600000,94500000,95400000,96300000,97200000,98300000,99500000,100000000,102000000,103000000,104000000,105000000,107000000,108000000,110000000,111000000,112000000,114000000,115000000,116000000,117000000,118000000,118000000,119000000,120000000,120000000,121000000,122000000,122000000,123000000,123000000,124000000,124000000,124000000,125000000,125000000,125000000,126000000,126000000,126000000,127000000,127000000,127000000,127000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,128000000,127000000,127000000,127000000,127000000,126000000,126000000,125000000,125000000,124000000,123000000,123000000
297000,298000,300000,302000,304000,306000,307000,309000,311000,313000,314000,317000,320000,323000,326000,330000,333000,336000,337000,338000,339000,342000,346000,349000,351000,354000,356000,358000,361000,363000,364000,364000,365000,365000,366000,366000,368000,371000,373000,377000,381000,386000,392000,397000,402000,408000,413000,418000,424000,429000,436000,441000,446000,451000,458000,465000,472000,480000,489000,498000,507000,518000,531000,543000,556000,569000,583000,596000,608000,620000,630000,639000,648000,655000,662000
143000,145000,148000,151000,154000,158000,161000,165000,168000,172000,176000,179000,182000,186000,189000,192000,196000,199000,201000,203000,204000,206000,209000,212000,215000,218000,220000,222000,224000,226000,228000,231000,234000,237000,240000,242000,243000,246000,250000,253000,255000,258000,261000,264000,266000,268000,269000,271000,274000,278000,281000,285000,288000,290000,292000,297000,304000,312000,318000,319000,318000,319000,321000,324000,328000,331000,336000,344000,353000,361000,367000,370000,373000,375000,378000
10100000,10200000,10400000,10500000,10600000,10800000,10900000,11000000,11200000,11300000,11500000,11600000,11800000,12000000,12100000,12300000,12400000,12600000,12700000,12900000,13000000,13200000,13300000,13400000,13600000,13700000,13800000,13900000,13900000,14000000,14100000,14200000,14300000,14400000,14400000,14500000,14600000,14700000,14800000,14900000,14900000,15000000,15200000,15300000,15300000,15400000,15500000,15600000,15700000,15800000,15900000,16000000,16100000,16100000,16200000,16300000,16300000,16399999,16500000,16500000,16600000,16700000,16800000,16900000,17000000,17000000,17100000,17200000,17300000,17400000,17400000,17500000,17600000,17600000,17700000
1010000,1050000,1100000,1150000,1210000,1270000,1330000,1400000,1470000,1540000,1600000,1660000,1710000,1760000,1810000,1860000,1910000,1950000,1990000,2029999,2060000,2100000,2130000,2170000,2200000,2230000,2260000,2290000,2320000,2360000,2400000,2450000,2510000,2560000,2620000,2690000,2750000,2810000,2880000,2950000,3020000,3120000,3230000,3330000,3440000,3540000,3650000,3760000,3870000,3970000,4050000,4120000,4179999,4230000,4270000,4340000,4490000,4660000,4840000,5010000,5160000,5280000,5380000,5480000,5570000,5650000,5710000,5760000,5810000,5870000,5910000,5940000,5980000,6010000,6050000
